bwlid,fwlid,blid,flid,blnid,flnid,bpid,fpid,bx,by,bh,fx,fy,fh,width,color,type
8912.0,8940.0,18777.0,18805.0,14235.0,13945.0,18905.0,18934.0,6837.992963002858,-8290.265378847671,-62.641419675320776,6838.020822061905,-8284.598911119658,-62.662048577089536,0.0,87.0,2.0
8941.0,8969.0,18806.0,18834.0,14051.0,13991.0,18935.0,18964.0,6836.129792910092,-8281.225948801077,-62.62661944627325,6831.385945897022,-8278.123751671523,-62.60749132291994,0.0,87.0,2.0
8970.0,9003.0,18835.0,18868.0,9731.0,9963.0,18965.0,18999.0,6827.3569024644,-8277.830089382003,-62.57279629378672,6821.539273548278,-8280.91088750835,-62.5905947251872,0.0,87.0,2.0
9004.0,9033.0,18869.0,18898.0,13791.0,8493.0,19000.0,19030.0,6819.116024499276,-8286.035769990109,-62.60469524397831,6819.877194896871,-8291.511301069648,-62.65266148943101,0.0,87.0,2.0
9034.0,9062.0,18899.0,18927.0,13338.0,8383.0,19031.0,19060.0,6822.102380269239,-8294.738075831361,-62.62925730663346,6827.077684127616,-8297.02214667033,-62.668564451580096,0.0,87.0,2.0
9063.0,9088.0,18928.0,18953.0,9621.0,9642.0,19061.0,19087.0,6825.3435211514625,-8269.941035542233,-62.564355463580796,6823.546046711742,-8266.018478798842,-62.559321964992705,0.0,87.0,2.0
9089.0,9115.0,18954.0,18980.0,9663.0,9685.0,19088.0,19115.0,6821.851371779337,-8262.456846638914,-62.5528712617006,6819.930787015315,-8258.367642883331,-62.547494905521944,0.0,87.0,2.0
9116.0,9150.0,18981.0,19015.0,7947.0,7976.0,19116.0,19151.0,6809.787159240566,-8236.43962041793,-62.430160264735605,6807.278790958045,-8231.08197859766,-62.4405317206174,0.0,87.0,2.0
9151.0,9184.0,19016.0,19049.0,7997.0,8025.0,19152.0,19186.0,6805.62344307612,-8227.53958373544,-62.452171861578336,6803.201603798075,-8222.313365402159,-62.39481492569621,0.0,87.0,2.0
9185.0,9218.0,19050.0,19083.0,170.0,201.0,19187.0,19221.0,6824.344929113369,-8228.037510799591,-62.464810986816246,6826.997389909527,-8233.774249790693,-62.471089764044336,0.1,87.0,1.0
9219.0,9276.0,19084.0,19141.0,4675.0,2301.0,19222.0,19280.0,6842.67215252643,-8251.95320064263,-62.53849419942253,6838.564554869456,-8243.165045608323,-62.541668038174976,0.1,87.0,1.0
9277.0,9335.0,19142.0,19200.0,5534.0,2084.0,19281.0,19340.0,6841.114538014726,-8264.00520164873,-62.53950937921309,6845.347692272582,-8273.037830376272,-62.55481950314788,0.1,87.0,1.0
9336.0,9389.0,19201.0,19254.0,5053.0,5102.0,19341.0,19395.0,6858.698886125071,-8292.913633605518,-62.176100590648275,6857.3120371684645,-8283.539148051446,-62.30236515150136,0.1,87.0,1.0
9390.0,9414.0,19255.0,19279.0,9052.0,9072.0,19396.0,19421.0,6781.677276384714,-8197.540369377111,-62.37085078402242,6783.431832586084,-8201.308766698778,-62.40658531963754,0.1,87.0,1.0
9415.0,9438.0,19280.0,19303.0,9017.0,9037.0,19422.0,19446.0,6778.708867205017,-8191.1657870892295,-62.39346457706915,6780.413380763862,-8194.825212550211,-62.40400056391036,0.1,87.0,1.0
9439.0,9461.0,19304.0,19326.0,14700.0,9001.0,19447.0,19470.0,6775.752945602582,-8184.816020453036,-62.387131381723066,6777.42207787791,-8188.40015118571,-62.384528156233046,0.1,87.0,1.0
9462.0,9497.0,19327.0,19362.0,9251.0,7814.0,19471.0,19507.0,6787.321584163567,-8188.355098253851,-62.353991471545214,6784.319749267255,-8181.850228137659,-62.34440828268907,0.1,87.0,1.0
9498.0,9538.0,19363.0,19403.0,18741.0,9231.0,19508.0,19549.0,6791.853870325227,-8198.14077947235,-62.38444952532927,6788.99099311285,-8191.956141309159,-62.400415467708626,0.1,87.0,1.0
9539.0,9561.0,19404.0,19426.0,7726.0,5904.0,19550.0,19573.0,6787.613658074425,-8176.731707536624,-62.46431310330263,6791.209888784116,-8175.069319785786,-62.47299724133336,0.1,87.0,1.0
9562.0,9583.0,19427.0,19448.0,5934.0,5953.0,19574.0,19596.0,6796.778036695469,-8174.284422378457,-62.43591412157912,6799.965810781397,-8177.085158353701,-62.42791888665852,0.1,87.0,1.0
9584.0,9647.0,19449.0,19512.0,5981.0,6035.0,19597.0,19661.0,6802.780302786152,-8182.086085848779,-62.43836532667956,6807.472319969978,-8192.017779207203,-62.41218351452835,0.1,87.0,1.0
9648.0,9673.0,19513.0,19538.0,12494.0,89.0,19662.0,19688.0,6815.69418874469,-8209.521940309294,-62.381582689091374,6817.496900542034,-8213.404429621976,-62.3945327926408,0.1,87.0,1.0
9674.0,9699.0,19539.0,19564.0,120.0,140.0,19689.0,19715.0,6820.052234319319,-8218.816072242895,-62.43327063280776,6821.849761766435,-8222.688673197445,-62.43820928579453,0.1,87.0,1.0
9700.0,9737.0,19565.0,19602.0,4244.0,4275.0,19716.0,19754.0,6824.327507025654,-8212.671554637784,-62.43488526450028,6821.613068390696,-8206.88198462307,-62.43749210363467,0.1,87.0,1.0
9738.0,9793.0,19603.0,19658.0,4143.0,4192.0,19755.0,19811.0,6832.876919056445,-8230.957110369527,-62.50672756321865,6828.603443393489,-8221.854281806045,-62.47635148394329,0.1,87.0,1.0
9794.0,9818.0,19659.0,19683.0,4193.0,4213.0,19812.0,19837.0,6828.603443393489,-8221.854281806045,-62.47635148394329,6826.882753902571,-8218.132181201314,-62.46268854994423,0.1,87.0,1.0
